200;;;EU28;BE;BG;CZ;DK;DE;EE;IE;EL;ES;FR;HR;IT;CY;LV;LT;LU;HU;MT;NL;AT;PL;PT;RO;SI;SK;FI;SE;UK;;;
;;;Hydro;0,066113018;0,300121054;0,102869617;0,000697496;0,054196643;0,002337359;0,053192559;0,176989303;0,188877902;0,195093047;0,45202952;0,195318933;0;0,534494536;0,239290587;0,778232885;0,006514286;0;0,001082631;0,552220743;0,062591854;0,338504937;0,285581001;0,365564037;0,32601395;0,199717323;0,408423455;0,046896764;;;
;;;Wind;0,109956389;0,065089859;0,012824594;0,365836646;0,237851319;0,120763537;0,284263449;0,123662927;0,216631351;0,087672217;0,09901599;0,08219898;0,089772727;0,023907104;0,13888131;0,070216501;0,0376;0;0,124561096;0,110129493;0,15082406;0,249209669;0,128286684;0,001413627;0,000387497;0,096171573;0,159589245;0,166089717;;;
;;;Solar PV;0,153103832;0,095725859;0,094047024;0,059356909;0,195270983;0;0,000603318;0,135872685;0,046833357;0,05596587;0,011480115;0,168909094;0,047727273;0,00034153;0,019099591;0,071386776;0,025142857;0,162303665;0,059954354;0,044213159;0,004907621;0,022469724;0,058184902;0,065875035;0,06884526;0,002150802;0,003795019;0,121866039;;;
;;;Solar Thermal;0;0;0;0;9,59233E-06;0;0;0;0,02166031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
;;;Geothermal;0;0;0;0;0,000139089;0;0;0;0;1,52912E-05;0;0,006718523;0;0;0;0;0;0;0;4,03405E-05;0;0,001215894;0;0;0;0;0;0;;;
;;;Tide. Wave and Ocean;0;0;0;0;0;0;0;0;0;0,001682034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000133142;;;
;;;Other Sources;0,00018558;0;0;0;0,001669065;0;0;0;0;0;0;0,002925667;0;0;0,006821282;0;0,004228571;0;0,001082631;0;5,24879E-05;0;0;0;0,004133299;0;0;0;;;
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
