FI TOT RoR,ee,se,DE_RoR,SP RoR,PL RoR,,
7.6851,0,0,54.78774048,48.87167603,5.950722082,,320.2125
39.711225,0,0,52.35525178,47.3721412,5.891983912,,1654.634375
33.57885,0,0,50.08935957,46.22314402,5.901717666,,1399.11875
9.00015,0,0,47.9145291,45.7900892,5.926975079,,375.00625
9.94545,0,0,45.94980073,45.98503447,5.890095899,,414.39375
10.392225,0,0,44.1079382,46.86946014,5.85774795,,433.009375
11.49915,0,0,42.4012431,48.67572645,5.792087066,,479.13125
12.058875,0,0,40.83556619,50.31226198,5.672596845,,502.453125
12.60495,0,0,39.30656901,51.16460609,5.536450158,,525.20625
13.134675,0,0,38.0797108,51.42428398,5.398625237,,547.278125
13.211475,0,0,37.02289951,51.24299421,5.286435331,,550.478125
13.382175,0,0,36.10133066,50.69923443,5.199922397,,557.590625
13.452225,0,0,35.26437273,49.84133364,5.133044795,,560.509375
13.491525,0,0,34.48502222,48.63266093,5.052363722,,562.146875
13.4883,0,0,33.70574672,47.13320233,4.954061199,,562.0125
15.646425,0,0,32.96555127,45.52244757,4.843297792,,651.934375
46.098075,0,0,32.29128932,44.04739345,4.725276025,,1920.753125
22.874625,0,0,31.66165812,42.82207215,4.712143849,,953.109375
13.5186,0,0,31.13344,41.77345656,4.933670662,,563.275
13.803825,0,0,30.55924095,40.93351093,5.142904416,,575.159375
14.433975,0,0,29.9106323,40.24515964,5.30821041,,601.415625
15.497775,0,0,29.06504826,39.68252555,5.332922397,,645.740625
17.103375,0,0,28.09749848,39.27997939,5.257401893,,712.640625
19.731525,0,0,27.03251114,39.00379762,5.124359937,,822.146875
23.19975,0,0,25.94704616,38.74506852,4.963585174,,966.65625
27.301725,0,0,24.96299425,38.72920502,4.804488644,,1137.571875
32.792025,0,0,24.08770637,39.52537067,4.62789653,,1366.334375
40.0881,0,0,23.26229993,41.17373777,4.429864984,,1670.3375
47.876625,0,0,22.46292184,42.54077944,4.223190536,,1994.859375
54.002475,0,0,21.69954839,43.41758143,4.027567256,,2250.103125
57.2448,0,0,20.95995302,44.11752469,3.868735047,,2385.2
58.29225,0,0,20.24818623,44.5892706,3.737962902,,2428.84375
58.1004,0,0,19.54729584,45.61665501,3.617965016,,2420.85
57.2595,0,0,18.91518932,46.73014249,3.505963912,,2385.8125
56.042025,0,0,18.33296424,47.26177584,3.413367382,,2335.084375
54.7998,0,0,17.78186817,47.70423852,3.330693407,,2283.325
