SE1 RoR;SE2 RoR;SE3 RoR;SE4 RoR;NO1 RoR;NO2 RoR;NO3 RoR;NO4 RoR;NO5 RoR;DK RoR;FI1 RoR;FI2 RoR;BNL_RoR;DE_RoR;BAL RoR;PL RoR;IE ROR;UK RoR;FR RoR;CEN RoR;SP RoR;MED RoR
0;0;0;0;8.630133036;2.08940063;0.041292503;0.123877508;0.280789017;0;10.71378061;14.56249439;3.921055;94.68696092;6.37213;3.983983533;0;6.579730425;314.7865343;94.14038941;166.4261585;179.2795493
0;0;0;0;8.832233662;2.138330255;0.042259491;0.126778474;0.28736454;0;3.457992326;4.700207674;3.845332;93.30228235;6.49898;3.987814101;0;6.691474341;312.3615843;93.53766079;158.9304608;182.7108294
0;0;0;0;8.998247532;2.178523087;0.043053816;0.129161448;0.292765948;0;3.415393686;4.642306314;3.782518;92.20789122;6.64781;4.075648644;0;6.793933177;309.6347663;93.6576379;151.1002799;183.1941303
0;0;0;0;9.035739306;2.187600042;0.043233202;0.129699607;0.293985776;0;3.39848139;4.61931861;3.735265;91.80208888;6.84662;4.034452208;0;6.851096972;306.9654867;93.36678404;143.3366278;182.050814
0;0;0;0;8.892908219;2.153019885;0.0425498;0.1276494;0.289338641;0;3.380361073;4.594688927;3.710638;91.52980377;7.07202;4.091759685;0;6.826390586;305.4611505;93.81179265;135.8225265;180.5411989
0;0;0;0;8.647399958;2.093581042;0.041375119;0.124125358;0.281350812;0;3.360015453;4.567034547;3.695794;91.03624012;7.27284;4.143789117;0;6.745004844;305.1050797;93.97201343;128.9095832;179.1732928
0;0;0;0;8.438680961;2.043049075;0.040376464;0.121129392;0.274559955;0;3.339924154;4.539725846;3.67563;90.26814106;7.43169;4.182057035;0;6.639235675;304.0510437;93.79929675;122.5754002;178.0835513
0;0;0;0;8.074042034;1.954768071;0.03863178;0.11589534;0.262696104;0;3.331277266;4.527972734;3.648263;89.23300757;7.54812;4.20632429;0;6.550987048;301.5060136;93.35272671;116.6209614;177.0409753
0;0;0;0;7.821397764;1.893601564;0.037422956;0.112268867;0.254476099;0;3.298978595;4.484071405;3.65232;88.77169808;7.63214;4.21761041;0;6.487485177;300.1667874;92.68957844;111.2435256;175.3580588
0;0;0;0;7.58176839;1.835586031;0.036276404;0.108829211;0.246679546;0;3.268714486;4.442935514;3.743718;87.64730308;7.69139;4.220547319;0;6.41752412;315.866421;92.06515718;106.7565489;173.0631098
0;0;0;0;7.344135619;1.778053887;0.035139405;0.105418215;0.238947953;0;3.242455921;4.407244079;3.835448;87.70356033;8.00443;4.21761041;0;6.325278872;344.0552144;93.68455131;103.6254678;181.2422467
0;0;0;0;7.107612072;1.720790291;0.034007713;0.10202314;0.23125245;0;3.217755068;4.373669932;3.910068;87.54604002;9.3321;4.217652366;0;6.220034512;359.0710588;91.65615992;100.5545257;173.5545892
0;0;0;0;6.972027916;1.687964653;0.033358985;0.100076956;0.2268411;0;3.245285234;4.411089766;3.964725;87.10273285;8.04189;4.217064984;0;6.200535845;362.7068161;91.04476315;97.38830037;173.8897157
0;0;0;0;7.895863673;1.911630152;0.037779252;0.113337756;0.256898914;0;3.431161541;4.663738459;3.997394;86.39389144;7.7201;4.190834196;0;6.351963384;360.3986105;90.48773802;94.31225461;172.7097158
0;0;0;0;6.818991968;1.650913845;0.032626756;0.097880267;0.22186194;0;3.549038973;4.823961027;4.008019;85.60628987;7.70014;4.173699432;0;6.611420806;355.627096;89.74072148;91.38331867;170.5158839
0;0;0;0;6.853895552;1.659364186;0.032793759;0.098381276;0.222997559;0;4.851476511;6.594273489;3.989581;84.79243491;7.67633;4.154806719;0;6.781579984;349.6506115;88.84704508;88.65428334;167.8671314
0;0;0;0;6.949584616;1.682531012;0.033251601;0.099754803;0.226110887;0;3.129099032;4.253165968;3.953179;83.84656293;7.65109;4.133728107;0;6.869626761;342.9778294;87.8497836;86.04533498;164.8533283
0;0;0;0;7.748780561;1.876020557;0.037075505;0.111226515;0.252113435;0;4.046934426;5.500715574;3.901719;82.71541706;7.61709;4.109469243;0;6.932805673;335.4803309;86.77247436;83.59018618;161.6197374
0;0;0;0;7.386803772;1.788384071;0.035343559;0.106030676;0.240336199;0;4.61890065;6.27814935;3.836487;81.39224642;7.57989;4.08094347;0;6.923964662;327.4232926;85.59143946;81.28951745;158.279949
0;0;0;0;6.892570499;1.668727594;0.032978806;0.098936419;0.224255882;0;3.326476971;4.521448029;3.760959;79.89055276;7.5382;4.050324101;0;6.857112088;318.9059474;84.34236338;79.00674242;154.8664407
0;0;0;0;7.650170541;1.852146552;0.036603687;0.10981106;0.24890507;0;3.182499924;4.325750076;3.676622;78.26584324;7.49856;4.016985994;0;6.749485904;310.0125182;83.0333677;76.75389348;151.3980296
0;0;0;0;8.305758943;2.010867955;0.039740473;0.11922142;0.270235219;0;9.076498686;12.33705131;3.587444;76.58112597;7.45349;3.983790536;0;6.611420806;300.8730916;81.69811351;74.53540495;147.8835507
0;0;0;0;6.707736794;1.623978382;0.032094434;0.096283303;0.218242154;0;6.859970619;9.324279381;3.494603;74.82950008;7.40892;3.948694479;0;6.450869667;291.6936384;80.35003242;72.33646119;144.350291
0;0;0;0;6.981382373;1.690229417;0.033403743;0.10021123;0.227145455;0;19.2434272;26.1562478;3.396857;73.02319214;7.36483;3.914064132;0;6.27582573;282.5800623;78.94834905;70.23026195;140.8337787
0;0;0;0;6.377335916;1.54398659;0.030513569;0.091540707;0.207492269;0;3.86213898;5.24953602;3.296377;71.23451147;7.31177;3.879635174;0;6.090245246;273.5598819;77.60326582;68.75911038;137.3571798
0;0;0;0;6.248924743;1.512897569;0.029899161;0.089697484;0.203314298;0;2.878034089;3.911910911;3.19536;69.43202902;7.26045;3.84517265;0;5.901314059;265.3394014;76.25107496;68.54666854;133.9505845
0;0;0;0;6.108866716;1.478988784;0.029229027;0.087687082;0.198757386;0;2.860355653;3.887881847;3.093053;67.70448123;7.21703;3.816386751;0;5.714159149;258.1821296;74.9101273;69.13555937;130.7109687
0;0;0;0;5.967033931;1.44465032;0.028550402;0.085651205;0.194142731;0;2.939204465;3.995055535;2.990762;66.11877674;7.16138;3.797645079;0;5.529224583;251.7828632;73.63952582;70.05965731;127.7375835
0;0;0;0;5.828861586;1.411198068;0.02788929;0.08366787;0.189647171;0;2.835562609;3.854182391;2.890462;64.70626958;7.11777;3.788150473;0;5.353453988;245.8047109;72.44139286;71.92738498;125.1447232
0;0;0;0;5.705478895;1.381326469;0.027298942;0.081896826;0.185632806;0;2.815070755;3.826329245;2.790852;63.53191814;7.07454;3.785184196;0;5.186928102;240.1451044;71.31586877;73.87273642;122.8438423
0;0;0;0;5.59958497;1.355688993;0.026792273;0.080376818;0.182187454;0;3.336331881;4.534843119;2.689153;62.6329272;7.03221;3.7875547;0;5.02815324;234.634764;70.27439187;76.42533983;120.7583411
0;0;0;0;5.543162439;1.342028801;0.026522308;0.079566925;0.180351697;0;2.862224907;3.890422593;2.587696;62.00832165;6.99273;3.795140315;0;4.874263136;229.1619486;69.5483068;81.25708935;118.7275964
0;0;0;0;5.482931571;1.327446591;0.026234122;0.078702367;0.178392032;0;2.776366394;3.773721106;2.491182;61.61152048;6.94872;3.810303155;0;4.726630369;224.0093467;69.11639719;87.70678829;116.6798646
0;0;0;0;5.407726179;1.30923897;0.025874288;0.077622864;0.175945158;0;2.763802974;3.756644526;2.396098;61.46195119;6.90734;3.82961123;0;4.588080832;219.6330957;68.08607427;93.78337089;114.9641331
0;0;0;0;5.318470615;1.287629728;0.025447228;0.076341683;0.173041149;0;2.753264579;3.742320421;2.307962;61.74946327;6.86203;3.859408265;0;4.472017336;216.1149168;67.92123071;98.31224332;113.6279725
