fi,ee,se,de,sp,pl
4.403825,0,175.355,12.33460049,147.1935058,7.313564669
4.460725,0,174.886,12.02756934,146.0640656,7.193877603
4.484075,0,173.694,11.74872727,143.9822664,7.101355205
4.497175,0,171.558,11.48907778,140.9973391,6.989736278
4.4961,0,168.685,11.22945328,137.3503977,6.853738801
5.215475,0,165.827,10.98284873,133.4601524,6.700502208
15.366025,0,163.999,10.75821068,129.8551066,6.537223975
7.624875,0,158.867,10.54844188,126.8742279,6.519056151
4.5062,0,156.155,10.37246,124.3783434,6.825529338
4.601275,0,153.92,10.18115905,122.1816891,7.114995584
4.811325,0,152.722,9.965067697,120.0911404,7.34368959
5.165925,0,152.905,9.683351744,118.2239745,7.377877603
5.701125,0,155.563,9.36100152,116.8650206,7.273398107
6.577175,0,163.403,9.006188862,115.8955024,7.089340063
7.73325,0,175.463,8.644553844,114.7484315,6.866914826
9.100575,0,193.504,8.316705749,113.822295,6.646811356
10.930675,0,222.559,8.025093627,114.0980293,6.40250347
13.3627,0,263.044,7.750100072,115.6768622,6.128535016
15.958875,0,307.625,7.48377816,117.0350206,5.842609464
18.000825,0,342.311,7.229451606,117.7035186,5.571972744
19.0816,0,359.277,6.983046985,118.1397753,5.352234953
19.43075,0,362.734,6.745913775,118.1276294,5.171317098
19.3668,0,359.679,6.512404162,118.647645,5.005304984
19.0865,0,354.202,6.301810679,119.1953575,4.850356088
18.680675,0,347.418,6.107835764,118.9348242,4.722252618
18.2666,0,341.082,5.924231834,118.4651615,4.607876593
17.8973,0,336.198,5.747750146,118.1188693,4.481642145
17.61625,0,331.588,5.587737085,117.9457378,4.344872681
17.55065,0,327.559,5.446191874,117.1291395,4.209194448
17.65,0,322.931,5.3272879,115.6456209,4.083639117
17.699225,0,318.326,5.213232049,113.6665029,3.968769716
17.700175,0,315.551,5.080108579,111.325855,3.855368833
17.77325,0,330.238,4.940362672,109.1719528,3.731903091
18.1287,0,361.358,4.793869377,108.0224563,3.593804416
18.63585,0,382.74,4.651174612,108.4407964,3.463048328
19.00005,0,398.596,4.529746614,108.9172089,3.336517855
19.321425,0,415.791,4.420963722,108.5741904,3.226315205
19.8594,0,435.26,4.32972404,107.6358692,3.13098347
20.694175,0,462.767,4.27239623,106.1557819,3.051085678
21.6034,0,512.084,4.226613952,104.5140627,2.982372997
22.741,0,567.479,4.194426411,102.6334464,2.917885931
24.0885,0,610.899,4.17445914,100.5644913,2.881521262
25.034,0,630.696,4.146569935,98.46682326,2.864444669
25.51925,0,645.417,4.122079415,96.51174782,2.858355836
25.9345,0,670.022,4.104961041,94.78147905,2.841877098
26.774,0,713.82,4.082994544,93.08768795,2.818850978
27.84875,0,759.595,4.069299845,91.15416685,2.791692114
28.10125,0,773.287,4.098638489,89.13677242,2.782892618
27.6275,0,762.467,4.147644519,87.03989516,2.842358864
26.505,0,732.677,4.195500995,84.65259111,2.927521262
25.04075,0,708.223,4.225064551,82.26084278,2.971199495
23.502625,0,693.608,4.243732325,80.03323782,2.967815521
21.961975,0,684.328,4.260250931,78.01231828,2.945149274
20.682025,0,663.609,4.294262766,76.05395309,2.90635836
19.6471,0,632.008,4.334722105,74.09572176,2.868618044
18.7923,0,591.714,4.371232972,72.01626677,2.827836215
18.073925,0,551.388,4.387676607,69.96091488,2.781987129
